Vivado Simulator 2020.2
Time resolution is 1 ps
[2525000] Count:         172 Conv_Debug = 0615
[2535000] Count:         173 Conv_Debug = 069c
[2545000] Count:         174 Conv_Debug = 02b1
[2555000] Count:         175 Conv_Debug = 0000
[2565000] Count:         176 Conv_Debug = 0000
[2575000] Count:         177 Conv_Debug = 0000
[2585000] Count:         178 Conv_Debug = 0000
[2595000] Count:         179 Conv_Debug = 0000
[2605000] Count:         180 Conv_Debug = 0000
[2615000] Count:         181 Conv_Debug = 0000
[2625000] Count:         182 Conv_Debug = 0000
[2655000] Count:         183 Conv_Debug = 0000
[2665000] Count:         184 Conv_Debug = 0000
[2675000] Count:         185 Conv_Debug = 0000
[2685000] Count:         186 Conv_Debug = 0000
[2695000] Count:         187 Conv_Debug = 0378
[2705000] Count:         188 Conv_Debug = 10a4
[2705000] Count:          40 Maxpool_Debug = 0000
[2715000] Count:         189 Conv_Debug = 0a6e
[2725000] Count:         190 Conv_Debug = 0000
[2725000] Count:          41 Maxpool_Debug = 0000
[2735000] Count:         191 Conv_Debug = 0000
[2745000] Count:         192 Conv_Debug = 0000
[2745000] Count:          42 Maxpool_Debug = 10aa
[2755000] Count:         193 Conv_Debug = 0000
[2765000] Count:         194 Conv_Debug = 0000
[2765000] Count:          43 Maxpool_Debug = 0ddb
[2775000] Count:         195 Conv_Debug = 0000
[2785000] Count:         196 Conv_Debug = 0000
[2785000] Count:          44 Maxpool_Debug = 041e
[2795000] Count:         197 Conv_Debug = 0000
[2805000] Count:         198 Conv_Debug = 0000
[2805000] Count:          45 Maxpool_Debug = 0482
[2815000] Count:         199 Conv_Debug = 0000
[2825000] Count:         200 Conv_Debug = 0000
[2825000] Count:          46 Maxpool_Debug = 050d
[2835000] Count:         201 Conv_Debug = 0000
[2845000] Count:         202 Conv_Debug = 0000
[2845000] Count:          47 Maxpool_Debug = 0615
[2855000] Count:         203 Conv_Debug = 0000
[2865000] Count:         204 Conv_Debug = 0000
[2865000] Count:          48 Maxpool_Debug = 069c
[2875000] Count:         205 Conv_Debug = 0000
[2885000] Count:         206 Conv_Debug = 0000
[2885000] Count:          49 Maxpool_Debug = 0000
[2895000] Count:         207 Conv_Debug = 0000
[2905000] Count:         208 Conv_Debug = 0000
[2905000] Count:          50 Maxpool_Debug = 0000
[2925000] Count:          51 Maxpool_Debug = 0000
[2935000] Count:         209 Conv_Debug = 0000
[2945000] Count:         210 Conv_Debug = 0000
[2945000] Count:          52 Maxpool_Debug = 0000
[2955000] Count:         211 Conv_Debug = 0000
[2965000] Count:         212 Conv_Debug = 0000
[2975000] Count:         213 Conv_Debug = 0389
[2985000] Count:         214 Conv_Debug = 10eb
[2995000] Count:         215 Conv_Debug = 0a60
[3005000] Count:         216 Conv_Debug = 0000
[3015000] Count:         217 Conv_Debug = 0000
[3025000] Count:         218 Conv_Debug = 0000
[3035000] Count:         219 Conv_Debug = 0000
[3045000] Count:         220 Conv_Debug = 0000
[3055000] Count:         221 Conv_Debug = 0000
[3065000] Count:         222 Conv_Debug = 0000
[3075000] Count:         223 Conv_Debug = 0000
[3085000] Count:         224 Conv_Debug = 0000
[3095000] Count:         225 Conv_Debug = 0000
[3105000] Count:         226 Conv_Debug = 0000
[3115000] Count:         227 Conv_Debug = 0000
[3125000] Count:         228 Conv_Debug = 0000
[3135000] Count:         229 Conv_Debug = 0000
[3145000] Count:         230 Conv_Debug = 0000
[3155000] Count:         231 Conv_Debug = 0000
[3165000] Count:         232 Conv_Debug = 0000
[3175000] Count:         233 Conv_Debug = 0000
[3185000] Count:         234 Conv_Debug = 0000
[3215000] Count:         235 Conv_Debug = 0000
[3225000] Count:         236 Conv_Debug = 0000
[3235000] Count:         237 Conv_Debug = 0000
[3245000] Count:         238 Conv_Debug = 0000
[3255000] Count:         239 Conv_Debug = 0357
[3265000] Count:         240 Conv_Debug = 11f9
[3265000] Count:          53 Maxpool_Debug = 0000
[3275000] Count:         241 Conv_Debug = 0b3a
[3285000] Count:         242 Conv_Debug = 0000
[3285000] Count:          54 Maxpool_Debug = 0000
[3295000] Count:         243 Conv_Debug = 0000
[3305000] Count:         244 Conv_Debug = 014d
[3305000] Count:          55 Maxpool_Debug = 11f9
[3315000] Count:         245 Conv_Debug = 048d
[3325000] Count:         246 Conv_Debug = 05a9
[3325000] Count:          56 Maxpool_Debug = 0b3a
[3335000] Count:         247 Conv_Debug = 037e
[3345000] Count:         248 Conv_Debug = 0143
[3345000] Count:          57 Maxpool_Debug = 014d
[3355000] Count:         249 Conv_Debug = 0000
[3365000] Count:         250 Conv_Debug = 0000
[3365000] Count:          58 Maxpool_Debug = 05a9
[3375000] Count:         251 Conv_Debug = 0000
[3385000] Count:         252 Conv_Debug = 0000
[3385000] Count:          59 Maxpool_Debug = 037e
[3395000] Count:         253 Conv_Debug = 0000
[3405000] Count:         254 Conv_Debug = 0000
[3405000] Count:          60 Maxpool_Debug = 0000
[3415000] Count:         255 Conv_Debug = 0000
[3425000] Count:         256 Conv_Debug = 0000
[3425000] Count:          61 Maxpool_Debug = 0000
[3435000] Count:         257 Conv_Debug = 0000
[3445000] Count:         258 Conv_Debug = 0000
[3445000] Count:          62 Maxpool_Debug = 0000
[3455000] Count:         259 Conv_Debug = 0000
[3465000] Count:         260 Conv_Debug = 0000
[3465000] Count:          63 Maxpool_Debug = 0000
[3485000] Count:          64 Maxpool_Debug = 0000
[3495000] Count:         261 Conv_Debug = 0000
[3505000] Count:         262 Conv_Debug = 0000
[3505000] Count:          65 Maxpool_Debug = 0000
[3515000] Count:         263 Conv_Debug = 0000
[3525000] Count:         264 Conv_Debug = 0000
[3535000] Count:         265 Conv_Debug = 02cc
[3545000] Count:         266 Conv_Debug = 1021
[3555000] Count:         267 Conv_Debug = 0e5b
[3565000] Count:         268 Conv_Debug = 06e5
[3575000] Count:         269 Conv_Debug = 0cd5
[3585000] Count:         270 Conv_Debug = 10ca
[3595000] Count:         271 Conv_Debug = 14e0
[3605000] Count:         272 Conv_Debug = 1622
[3615000] Count:         273 Conv_Debug = 152c
[3625000] Count:         274 Conv_Debug = 1303
[3635000] Count:         275 Conv_Debug = 1005
[3645000] Count:         276 Conv_Debug = 09df
[3655000] Count:         277 Conv_Debug = 027e
[3665000] Count:         278 Conv_Debug = 0000
[3675000] Count:         279 Conv_Debug = 0000
[3685000] Count:         280 Conv_Debug = 0000
[3695000] Count:         281 Conv_Debug = 0000
[3705000] Count:         282 Conv_Debug = 0000
[3715000] Count:         283 Conv_Debug = 0000
[3725000] Count:         284 Conv_Debug = 0000
[3735000] Count:         285 Conv_Debug = 0000
[3745000] Count:         286 Conv_Debug = 0000
[3775000] Count:         287 Conv_Debug = 0000
[3785000] Count:         288 Conv_Debug = 0000
[3795000] Count:         289 Conv_Debug = 0000
[3805000] Count:         290 Conv_Debug = 0000
[3815000] Count:         291 Conv_Debug = 0169
[3825000] Count:         292 Conv_Debug = 11e3
[3825000] Count:          66 Maxpool_Debug = 0000
[3835000] Count:         293 Conv_Debug = 160d
[3845000] Count:         294 Conv_Debug = 138d
[3845000] Count:          67 Maxpool_Debug = 0000
[3855000] Count:         295 Conv_Debug = 144a
[3865000] Count:         296 Conv_Debug = 0eb1
[3865000] Count:          68 Maxpool_Debug = 11e3
[3875000] Count:         297 Conv_Debug = 0b4c
[3885000] Count:         298 Conv_Debug = 0ae5
[3885000] Count:          69 Maxpool_Debug = 160d
[3895000] Count:         299 Conv_Debug = 0c2d
[3905000] Count:         300 Conv_Debug = 0e81
